site,emails,phones
https://www.oferteo.pl/agencja-reklamowa/krakow,"['jquery@3.4.1/dist/jquery.min.', 'bootstrap@4.3.1/dist/js/bootstrap.bundle.min.', 'bootstrap@4.3.1/dist/css/bootstrap.min.c', 'swiper@4.5.0/dist/js/swiper.min.', 'swiper@4.5.0/dist/css/swiper.min.c']","['537 040 101', '99-269-34-75']"
https://www.baza-firm.com.pl/vsk/agencje-reklamowe/krak%C3%B3w/,[],[]
"https://panoramafirm.pl/agencje_reklamowe/ma%C5%82opolskie,,krak%C3%B3w","['admsgraw@onet.pl"",""sameAs"":""http://admsgraw.com.pl"",""url"":""https://panoramafirm.pl', 'biuro@tbcproject.com"",""sameAs"":""http://tbcproject.com/"",""url"":""https://panoramafirm.pl', 'biuro@elgraf.krakow.pl"",""sameAs"":""http://www.elgraf.krakow.pl"",""url"":""https://panoramafirm.pl', 'admsgraw@onet.pl', 'biuro@tbcproject.com', 'biuro@elgraf.krakow.pl', 'kontakt@deus.pl', 'hello@1000i.pl', 'biuro@3d.krakow.pl', 'ph.piotrek@gmail.com', '9sgiacom@gmail.com', 'agnieszka@a2studio.pl', 'kontakt@pf.pl', 'kontakt@pf.pl.', 'iod@pf.pl.']","['504 084 871', '725 500 102', '511 360 100', '513 747 637', '503 041 000', '510 022 053', '504 999 612', '505 424 828', '737 924 559', '506 506 767', '886 084 576', '501 576 677']"
"http://www.firmy.net/agencje-reklamowe,krakow.html?p=4",[],[]
http://domenareklamy.pl/,['domena@domenareklamy.pl'],"['12 656 26 45', '12 656 40 24']"
http://www.yoho.pl/,['hello@yoho.pl'],['12 425 25 48']
https://briefly24.pl/content/blog/top10-niezaleznych-agencji-reklamowych-krakow/,[],[]
https://www.roxxmedia.pl/,['Protected'],['+48 12 430 61 10']
https://www.roxxmedia.pl/co-robimy/hasla-i-teksty-reklamowe/,['Protected'],['+48 12 430 61 10']
https://www.roxxmedia.pl/co-robimy/projektowanie-logotypow/,['Protected'],['+48 12 430 61 10']
https://www.roxxmedia.pl/co-robimy/projekty-pos/,['Protected'],['+48 12 430 61 10']
https://www.roxxmedia.pl/realizacje/,['Protected'],['+48 12 430 61 10']
https://www.yoho.pl/,['hello@yoho.pl'],['12 425 25 48']
https://www.pracuj.pl/praca/agencja%20reklamowa;kw/krakow;wp,"['react@17.0.2/umd/react.production.min.', 'dom@17.0.2/umd/react-dom.production.min.', 'browser@6.8.0/build/bundle.min.', 'axios@0.21.1/dist/axios.min.', 'redux@4.1.0/dist/redux.min.', 'redux@7.2.4/dist/react-redux.min.']",[]
https://avocado.pl/agencja-reklamowa-krakow/,"['icon2@1x.png', 'icon2@2x.png', 'icon1@1x.png', 'icon1@2x.png', 'icon5@1x.png', 'icon5@2x.png', 'icon3@1x.png', 'icon3@2x.png', 'icon4@1x.png', 'icon4@2x.png', 'biuro@avocado.pl']",[]
https://samart.pl/,['biuro@samart.pl'],"['256 416 256', '509 502 401']"
https://aliso.pl/,['biuro@aliso.pl'],['+48 12 395 70 05']
https://anronet.pl/,['info@anronet.pl'],"['+48 12 294 14 10', '12 294 14 10']"
https://interaktywnie.com/wizytowki-firm/1/agencje-reklamowe/krakow,"['redakcja@interaktywnie.com', 'tb@interaktywnie.com', 'reklama@interaktywnie.com', 'ds@interaktywnie.com', 'jk@interaktywnie.com']","['98-215-19-79', '693 710 118']"
https://www.funktional.pl/,"['m@2k.jpg', 'bcg_intro@2k.jpg', 'about_space_m@2k.jpg', 'about_planet_m@2k.png', 'about_ship_m@2k.png', 'expertise_planet_m@2k.png', 'expertise_space_m@2k.png', 'expertise_scheme_m@2k.png', '1@2x.png', '2@2x.png', 'hello@funktional.pl']",['+48 696 137 197']
https://pl.jooble.org/praca-agencja-reklamowa/Krak%C3%B3w,"['example@mail.com"",""cvBuilder.cityYouLive', 'compliance@jooble.com']","['668-453-437', '437 453 195', '668 453 437']"
https://brandbay.pl/,['kontakt@brandbay.pl'],"['515 228 818', '12 267 79 35', '+48 516 248 418', '+48 515 228 818']"
https://studiokreacja.pl/krakow/,['biuro@studiokreacja.pl'],"['+48 514 820 704', '141 512 512']"
https://grupa3.com.pl/,"['office@grupa3.com.pl', 'jan.kowalski@klient.pl', 'office@grupa3.com.pl"">office@grupa3.com.pl']",['12 294 70 60']
https://brandnewbrand.pl/,['biuro@brandnewbrand.pl'],['+48 600 137 349']
https://onlinegroup.pl/,['biuro@onlinegroup.pl'],"['602 440 019', '144 602 440', '706 602 440', '+48 600 379 133', '+48 602 440 019']"
https://opusb.pl/,[],['+48 608 671 871']
